Raduls_sort;lengthmin=1048576000;lengthmax=1048576000;lengtstep=0;lengtmult=2;num_threads=12;testite=2
seconds  length
139.294489 1048576000
Raduls_sort;lengthmin=400;lengthmax=1048576000;lengtstep=0;lengtmult=2;num_threads=12;testite=1
seconds  length
0.028832 400
0.024647 800
0.023334 1600
0.023331 3200
0.025667 6400
0.024411 12800
0.024842 25600
0.024035 51200
0.025400 102400
0.024260 204800
0.026541 409600
0.032114 819200
0.058743 1638400
0.080236 3276800
0.243274 6553600
0.163815 13107200
0.254242 26214400
0.567365 52428800
1.259364 104857600
2.973857 209715200
7.611748 419430400
40.749548 838860800
Raduls_sort;lengthmin=400;lengthmax=10485760000;lengtstep=0;lengtmult=2;num_threads=12;testite=1
seconds  length
0.031492 400
0.028381 800
0.022389 1600
0.022764 3200
0.023755 6400
0.022902 12800
0.022680 25600
0.026739 51200
0.024146 102400
0.028947 204800
0.025391 409600
0.040360 819200
0.075532 1638400
0.192275 3276800
0.115623 6553600
0.123025 13107200
0.250983 26214400
0.550902 52428800
1.264874 104857600
2.998150 209715200
7.619461 419430400
39.339447 838860800
360.397654 1677721600
