Raduls_sort;lengthmin=16777216;lengthmax=536870912;lengtstep=16777216;lengtmult=1;num_threads=12;testite=1
seconds  length
0.181894 16777216
0.322089 33554432
0.519242 50331648
0.722945 67108864
0.930777 83886080
1.174752 100663296
1.402411 117440512
1.618228 134217728
1.891277 150994944
2.153267 167772160
2.414171 184549376
2.720681 201326592
3.002194 218103808
3.301321 234881024
3.608080 251658240
3.948903 268435456
4.297962 285212672
4.616361 301989888
4.980510 318767104
5.345599 335544320
5.744790 352321536
6.089493 369098752
6.527396 385875968
6.956477 402653184
7.385072 419430400
7.817193 436207616
8.298397 452984832
8.748730 469762048
9.278806 486539264
9.760215 503316480
10.305250 520093696
11.254317 536870912
