Raduls_sort;lengthmin=100;lengthmax=104857600;lengtstep=0;lengtmult=2;num_threads=1;testite=5
seconds  length
0.000106 100
0.000141 200
0.004211 400
0.004436 800
0.004295 1600
0.003700 3200
0.003103 6400
0.003546 12800
0.003728 25600
0.004692 51200
0.008184 102400
0.015993 204800
0.041149 409600
0.078392 819200
0.184078 1638400
0.314189 3276800
0.341022 6553600
0.692447 13107200
1.606293 26214400
3.631544 52428800
8.384891 104857600
Raduls_sort;lengthmin=100;lengthmax=104857600;lengtstep=0;lengtmult=2;num_threads=2;testite=5
seconds  length
0.000040 100
0.000056 200
0.005430 400
0.004898 800
0.004391 1600
0.004411 3200
0.004466 6400
0.004489 12800
0.004587 25600
0.005378 51200
0.006544 102400
0.009917 204800
0.018254 409600
0.041229 819200
0.098983 1638400
0.168402 3276800
0.187897 6553600
0.364985 13107200
0.861118 26214400
1.945858 52428800
4.341282 104857600
Raduls_sort;lengthmin=100;lengthmax=104857600;lengtstep=0;lengtmult=2;num_threads=3;testite=5
seconds  length
0.000033 100
0.000051 200
0.006042 400
0.006049 800
0.006096 1600
0.006142 3200
0.006232 6400
0.006153 12800
0.006224 25600
0.006389 51200
0.007759 102400
0.009913 204800
0.015251 409600
0.032232 819200
0.070326 1638400
0.117707 3276800
0.128994 6553600
0.250152 13107200
0.585387 26214400
1.308339 52428800
3.002756 104857600
Raduls_sort;lengthmin=100;lengthmax=104857600;lengtstep=0;lengtmult=2;num_threads=4;testite=5
seconds  length
0.000049 100
0.000071 200
0.008058 400
0.007863 800
0.008209 1600
0.008740 3200
0.008674 6400
0.008783 12800
0.009419 25600
0.008823 51200
0.008753 102400
0.011215 204800
0.014564 409600
0.028209 819200
0.058354 1638400
0.093197 3276800
0.103715 6553600
0.203704 13107200
0.459091 26214400
1.016323 52428800
2.343574 104857600
Raduls_sort;lengthmin=100;lengthmax=104857600;lengtstep=0;lengtmult=2;num_threads=5;testite=5
seconds  length
0.000030 100
0.000054 200
0.009444 400
0.010184 800
0.010484 1600
0.009695 3200
0.010573 6400
0.010111 12800
0.009780 25600
0.010769 51200
0.010373 102400
0.011359 204800
0.015481 409600
0.024936 819200
0.051691 1638400
0.084016 3276800
0.085316 6553600
0.173384 13107200
0.374490 26214400
0.848480 52428800
1.935835 104857600
Raduls_sort;lengthmin=100;lengthmax=104857600;lengtstep=0;lengtmult=2;num_threads=6;testite=5
seconds  length
0.000029 100
0.000056 200
0.011393 400
0.011640 800
0.011305 1600
0.012713 3200
0.012158 6400
0.012526 12800
0.012961 25600
0.011036 51200
0.011909 102400
0.013235 204800
0.019550 409600
0.024246 819200
0.049207 1638400
0.079192 3276800
0.080821 6553600
0.158489 13107200
0.333790 26214400
0.747121 52428800
1.704432 104857600
Raduls_sort;lengthmin=100;lengthmax=104857600;lengtstep=0;lengtmult=2;num_threads=7;testite=5
seconds  length
0.000029 100
0.000058 200
0.012907 400
0.013646 800
0.013050 1600
0.014128 3200
0.014826 6400
0.013820 12800
0.014276 25600
0.013181 51200
0.013873 102400
0.014747 204800
0.019236 409600
0.024730 819200
0.048926 1638400
0.070973 3276800
0.076968 6553600
0.142882 13107200
0.302573 26214400
0.686058 52428800
1.562410 104857600
Raduls_sort;lengthmin=100;lengthmax=104857600;lengtstep=0;lengtmult=2;num_threads=8;testite=5
seconds  length
0.000029 100
0.000052 200
0.015290 400
0.014672 800
0.015125 1600
0.014604 3200
0.015396 6400
0.015478 12800
0.015662 25600
0.016008 51200
0.016079 102400
0.018140 204800
0.019385 409600
0.028772 819200
0.047387 1638400
0.069353 3276800
0.076057 6553600
0.137569 13107200
0.287447 26214400
0.635167 52428800
1.445786 104857600
Raduls_sort;lengthmin=100;lengthmax=104857600;lengtstep=0;lengtmult=2;num_threads=9;testite=5
seconds  length
0.000032 100
0.000053 200
0.015986 400
0.017522 800
0.016717 1600
0.017056 3200
0.016479 6400
0.017392 12800
0.017380 25600
0.018121 51200
0.018567 102400
0.021705 204800
0.021128 409600
0.027554 819200
0.048269 1638400
0.067887 3276800
0.073305 6553600
0.132589 13107200
0.276415 26214400
0.594329 52428800
1.361882 104857600
Raduls_sort;lengthmin=100;lengthmax=104857600;lengtstep=0;lengtmult=2;num_threads=10;testite=5
seconds  length
0.000035 100
0.000055 200
0.017670 400
0.018645 800
0.018370 1600
0.019472 3200
0.018688 6400
0.020106 12800
0.019241 25600
0.018768 51200
0.022293 102400
0.020765 204800
0.022332 409600
0.029792 819200
0.047619 1638400
0.067742 3276800
0.072267 6553600
0.125755 13107200
0.261043 26214400
0.572473 52428800
1.300275 104857600
Raduls_sort;lengthmin=100;lengthmax=104857600;lengtstep=0;lengtmult=2;num_threads=11;testite=5
seconds  length
0.000029 100
0.000058 200
0.019933 400
0.019642 800
0.021584 1600
0.022160 3200
0.020619 6400
0.021542 12800
0.020637 25600
0.022118 51200
0.024529 102400
0.021395 204800
0.024481 409600
0.030955 819200
0.048580 1638400
0.067086 3276800
0.071833 6553600
0.121830 13107200
0.254925 26214400
0.548249 52428800
1.258983 104857600
Raduls_sort;lengthmin=100;lengthmax=104857600;lengtstep=0;lengtmult=2;num_threads=12;testite=5
seconds  length
0.000031 100
0.000051 200
0.021126 400
0.022632 800
0.022274 1600
0.021841 3200
0.022532 6400
0.022754 12800
0.022466 25600
0.025645 51200
0.024309 102400
0.023103 204800
0.026046 409600
0.031743 819200
0.051507 1638400
0.068279 3276800
0.072224 6553600
0.122099 13107200
0.245258 26214400
0.543424 52428800
1.219287 104857600
